Pais;Entidad estatal;Referencia;Descripción;Fase actual;Fecha de publicación;Fecha de presentación de ofertas;Cuantía Estado;Detalle
COLOMBIA;DEPARTAMENTO DEL META;GCSJ-CM-005-2024;NTERVENTORÍA TÉCNICA, ADMINISTRATIVA, FINANCIERA Y JURÍDICA PARA AL CONTRATO DE ALIMENTACIÓN ESCOLAR (PAE REGULAR Y RESIDENCIAS ESCOLARES) A FIN DE GARANTIZAR EL SUMINISTRO DE COMPLEMENTOS NUTRICIONAL;Presentación de observaciones;13/09/2024 7:12 PM (UTC -5 horas);1/10/2024 8:00 AM (UTC -5 horas);1.321.395.956 COP;Publicado;Detalle
COLOMBIA;GOBERNACION DEL AMAZONAS;GOB-AMA-SI-41-2024;PRESTACIÓN DEL SERVICIO DE ALIMENTACIÓN ESCOLAR (PAE);Presentación de observaciones;13/09/2024 6:25 PM (UTC -5 horas);27/09/2024 8:00 AM (UTC -5 horas);4.235.876.550 COP;Publicado;Detalle
COLOMBIA;HOSPITAL DEPARTAMENTAL FELIPE SUAREZ E.S.E;RH200.7.2.58.2024;BIBIANA ANDREA JERONIMO PAEZ;Presentación de oferta;13/09/2024 4:35 PM (UTC -5 horas);-;9.546.291 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE PUERTO TRIUNFO;011-SAMC-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);OPERACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) DE ACUERDO CON LOS LINEAMIENTOS TÉCNICOS-ADMINISTRATIVOS VIGENTES, DISPUESTOS POR EL MEN, PARA EL SUMINISTRO DE COMPLEMENTO ALIMENTARIO A LOS ALUMN;Presentación de oferta;13/09/2024 2:10 PM (UTC -5 horas);16/09/2024 3:00 PM (UTC -5 horas);355.043.520 COP;Publicado;Detalle
COLOMBIA;ALCALDIA DE CAUCASIA;CPS-471-2024..;PRESTACION DE SERVICIOS PARA REALIZAR TODAS LAS ACCIONES NUTRICIONALES Y NECESARIAS PARA LA COORDINACION DEL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) DIRIGIDO POR LA SECRETARÍA DE EDUCACION, CULTURA, DE;Presentación de oferta;12/09/2024 5:28 PM (UTC -5 horas);-;14.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA SANTA LUCIA;2024-016;SERVICIOS DE ADECUACIÓN A TODO COSTO DEL LAMINADO DE TRAGALUZ SEDE MEGA, BODEGA DE ALMACENAMIENTO PARA ALIMENTOS PAE, ENCOFRADO DE COLUMNAS PARED DE ENCERRAMIENTO SEDE 3.;Presentación de oferta;12/09/2024 2:36 PM (UTC -5 horas);-;18.340.000 COP;Publicado;Detalle
COLOMBIA;EMPRESA SOCIAL DEL ESTADO IMSALUD;SA24M-1071 CONTRATO 142M DE 2024;EDERSON JAHIR MARQUEZ PAEZ;Presentación de oferta;12/09/2024 2:32 PM (UTC -5 horas);-;100.000.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE BARBOSA;CD-CPS-166-2024;PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA EL ACOMPAÑAMIENTO ADMINISTRATIVO, OPERATIVO Y LOGÍSTICO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE DE LA SECRETARIA DE EDUCACIÓN Y CULTURA DEL MUNICIPI;Presentación de oferta;12/09/2024 12:45 PM (UTC -5 horas);-;8.580.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA DE CAUCASIA;CPS-471-2024.;PRESTACION DE SERVICIOS PARA REALIZAR TODAS LAS ACCIONES NUTRICIONALES Y NECESARIAS PARA LA COORDINACION DEL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) DIRIGIDO POR LA SECRETARÍA DE EDUCACION, CULTURA, DE;Presentación de oferta;12/09/2024 12:03 PM (UTC -5 horas);-;14.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SECRETARIA DE EDUCACION DEL DISTRITO;SED-SGI-OCDI-PSAG-20-2024;EDUIN ANDRES PAEZ;Presentación de oferta;12/09/2024 11:36 AM (UTC -5 horas);-;9.966.667 COP;Proceso adjudicado y celebrado;Detalle
